"questionId","questionName","questionType","questionOption","surveyId"
44,"Rate the quality of our customer service.","MCQ","[""Excellent"",""Good"",""Average"",""Poor""]",10
45,"How would you rate the customer support service?","MCQ","[""Excellent"",""Good"",""Average"",""Poor""]",16
46,"What additional topics should be included in future trainings?","Input","[]",17
47,"What new features would enhance your experience with our product?","Input","[]",20
48,"Rate the effectiveness of our customer service team.","MCQ","[""Very Effective"",""Effective"",""Neutral"",""Ineffective""]",22
49,"Rate the quality of our customer support.","MCQ","[""Excellent"",""Good"",""Average"",""Poor""]",25
50,"Do you find the product easy to integrate with other tools?","TrueFalse","[]",22
51,"How would you rate the clarity of our product documentation?","MCQ","[""Excellent"",""Good"",""Average"",""Poor""]",19
52,"Do you have any additional feedback for our service?","Input","[]",10
53,"How effective was the training in improving your skills?","MCQ","[""Very Effective"",""Effective"",""Neutral"",""Ineffective""]",18
54,"How satisfied are you with the support team?","MCQ","[""Very Satisfied"",""Satisfied"",""Neutral"",""Dissatisfied""]",8
55,"Do you have any suggestions for improving the documentation?","Input","[]",19
56,"How would you rate the product's reliability?","MCQ","[""Excellent"",""Good"",""Average"",""Poor""]",26
57,"Rate the ease of getting started with our product.","MCQ","[""Very Easy"",""Easy"",""Neutral"",""Difficult""]",27
58,"How likely are you to continue using our product?","MCQ","[""Very Likely"",""Likely"",""Neutral"",""Unlikely""]",20
60,"Do you feel that our product meets your needs?","TrueFalse","[]",24
59,"How satisfied are you with the product's performance in real-world scenarios?","MCQ","[""Very Satisfied"",""Satisfied"",""Neutral"",""Dissatisfied""]",23
64,"Rate your overall experience with our service.","MCQ","[""Excellent"",""Good"",""Average"",""Poor""]",31
69,"Would you use our service again?","TrueFalse","[]",8
61,"What improvements would you suggest for our product?","Input","[]",29
62,"How effective was our product in solving your problem?","MCQ","[""Very Effective"",""Effective"",""Neutral"",""Ineffective""]",30
63,"Have you encountered any issues with the product?","TrueFalse","[]",26
65,"How likely are you to use our service again?","MCQ","[""Very Likely"",""Likely"",""Neutral"",""Unlikely""]",2
68,"What additional features would you like to see in future updates?","Input","[]",31
66,"Do you have any suggestions for improving the product?","Input","[]",30
67,"What additional features would you like to see?","Input","[]",23
70,"How clear were the instructions provided during the training?","MCQ","[""Very Clear"",""Clear"",""Neutral"",""Unclear""]",9
71,"How likely are you to recommend our product to others?","MCQ","[""Very Likely"",""Likely"",""Neutral"",""Unlikely""]",29
72,"How do you rate the ease of use of our platform?","MCQ","[""Very Easy"",""Easy"",""Neutral"",""Difficult""]",24
73,"What changes would you recommend for our customer support?","Input","[]",25
74,"Do you feel the product is priced fairly?","TrueFalse","[]",28
75,"What features do you find most valuable?","Input","[]",27
76,"How satisfied are you with the current product updates?","MCQ","[""Very Satisfied"",""Satisfied"",""Neutral"",""Dissatisfied""]",28
77,"How would you rate the overall performance of our service?","MCQ","[""Excellent"",""Good"",""Average"",""Poor""]",21
